Time_s,Ax_ms2,Ay_ms2,Az_ms2
2.363,-3.635,-4.706,6.734
2.374,-3.558,-4.744,6.734
2.385,-3.405,-4.744,6.848
2.395,-3.329,-4.897,6.963
2.407,-3.214,-5.318,6.963
2.418,-3.137,-5.509,7.154
2.429,-3.061,-5.395,7.269
2.441,-3.022,-5.127,7.231
2.451,-2.793,-4.935,7.231
2.463,-2.563,-4.821,7.307
2.473,-2.334,-4.553,7.384
2.484,-2.066,-4.4,7.384
2.495,-1.798,-4.553,7.346
2.506,-1.951,-4.821,7.499
2.517,-2.028,-5.241,7.537
2.528,-1.76,-5.012,7.614
2.539,-1.339,-4.897,7.652
2.55,-1.148,-4.782,7.767
2.561,-0.956,-4.859,7.92
2.572,-1.11,-4.782,7.92
2.583,-0.995,-4.744,7.805
2.594,-0.727,-4.706,7.881
2.606,-0.803,-5.012,8.264
2.617,-0.574,-5.165,8.264
2.628,-0.306,-5.28,8.264
2.639,0.077,-5.395,8.34
2.65,0.153,-5.509,8.57
2.661,0.153,-5.739,8.685
2.672,0.153,-5.93,8.761
2.682,0.268,-5.815,8.761
2.694,0.383,-5.93,8.876
2.704,0.497,-5.854,8.876
2.715,0.574,-5.815,8.914
2.726,0.689,-5.93,8.953
2.737,0.727,-5.93,9.067
2.748,0.689,-6.007,9.182
2.759,0.65,-6.007,9.182
2.771,0.612,-5.93,9.22
2.782,0.727,-5.815,9.144
2.792,0.727,-5.586,9.067
2.803,0.765,-5.624,9.106
2.814,0.727,-5.701,9.067
2.825,0.803,-5.701,8.953
2.836,0.689,-5.739,9.029
2.847,0.727,-5.777,8.953
2.858,0.803,-5.892,8.953
2.869,0.842,-5.739,8.914
2.88,0.765,-5.624,8.838
2.891,0.689,-5.433,8.8
2.902,0.689,-5.395,8.723
2.913,0.765,-5.395,8.761
2.924,0.803,-5.28,8.761
2.935,0.995,-5.165,8.723
2.946,0.842,-5.05,8.647
2.957,0.689,-5.127,8.685
2.967,0.727,-5.012,8.532
2.979,0.727,-4.515,8.111
2.989,0.344,-4.285,8.073
3.0,-0.077,-4.629,8.111
3.011,-0.344,-4.515,7.92
3.022,-0.689,-4.974,7.996
3.033,0.115,-5.509,7.805
3.045,-1.683,-4.859,7.231
3.055,-2.066,-5.05,7.269
3.066,-2.908,-5.433,7.575
3.077,-3.367,-4.897,7.231
3.088,-3.252,-5.127,7.04
3.099,-3.788,-5.433,7.04
3.11,-4.362,-5.356,7.231
3.121,-4.821,-5.701,7.307
3.132,-4.553,-5.012,6.542
3.143,-4.974,-5.815,7.231
3.154,-5.127,-6.848,7.078
3.166,-4.094,-5.777,6.542
