Time_s,Ax_ms2,Ay_ms2,Az_ms2
2.345,-3.763,-4.761,6.736
2.356,-3.52,-4.678,6.815
2.367,-3.388,-4.729,6.846
2.378,-3.325,-4.975,6.951
2.389,-3.138,-5.243,6.961
2.4,-3.136,-5.498,7.114
2.411,-2.988,-5.376,7.27
2.422,-2.954,-5.11,7.218
2.433,-2.87,-4.954,7.254
2.444,-2.563,-4.75,7.288
2.455,-2.433,-4.553,7.39
2.466,-2.055,-4.483,7.394
2.477,-1.806,-4.579,7.29
2.488,-1.96,-4.911,7.531
2.499,-2.035,-5.241,7.425
2.51,-1.816,-5.003,7.557
2.522,-1.3,-4.925,7.602
2.533,-1.129,-4.783,7.892
2.544,-0.902,-4.866,7.907
2.555,-1.107,-4.749,7.827
2.566,-0.935,-4.708,7.698
2.577,-0.694,-4.712,7.879
2.588,-0.797,-5.053,8.294
2.599,-0.595,-5.166,8.299
2.61,-0.26,-5.239,8.207
2.621,0.065,-5.439,8.461
2.632,0.174,-5.518,8.631
2.643,0.131,-5.724,8.725
2.654,0.189,-5.879,8.681
2.665,0.255,-5.793,8.771
2.676,0.352,-6.0,8.829
2.687,0.525,-5.881,8.912
2.698,0.597,-5.884,8.953
2.709,0.658,-5.852,8.947
2.72,0.77,-5.907,9.03
2.731,0.722,-5.968,9.261
2.742,0.551,-6.096,9.192
2.753,0.618,-5.952,9.218
2.764,0.699,-5.788,9.127
2.775,0.698,-5.669,9.142
2.786,0.764,-5.601,9.111
2.797,0.629,-5.687,9.056
2.808,0.777,-5.69,8.985
2.819,0.691,-5.75,9.003
2.83,0.741,-5.789,8.925
2.841,0.75,-5.832,8.9
2.852,0.849,-5.785,8.929
2.863,0.772,-5.538,8.809
2.874,0.765,-5.435,8.893
2.885,0.625,-5.404,8.698
2.897,0.796,-5.41,8.859
2.908,0.836,-5.32,8.794
2.919,1.049,-5.155,8.692
2.93,0.866,-5.078,8.638
2.941,0.717,-5.179,8.659
2.952,0.622,-4.966,8.522
2.963,0.771,-4.513,8.115
2.974,0.352,-4.264,8.073
2.985,-0.093,-4.599,8.146
2.996,-0.372,-4.474,7.93
3.007,-0.665,-4.89,8.046
3.018,0.118,-5.494,7.818
3.029,-1.685,-4.902,7.321
3.04,-2.031,-5.096,7.232
3.051,-3.032,-5.325,7.677
3.062,-3.364,-4.871,7.135
3.073,-3.141,-5.08,7.054
3.084,-3.781,-5.383,7.136
3.095,-4.407,-5.379,7.153
3.106,-4.75,-5.804,7.297
3.117,-4.546,-5.081,6.524
3.128,-4.999,-5.869,7.209
3.139,-5.13,-6.908,7.128
3.15,-4.17,-5.729,6.525
3.161,-3.083,-5.979,6.674
3.172,-6.741,-5.961,9.119
3.183,-4.262,-4.936,7.657
3.194,-4.473,-5.859,7.62
3.205,-3.926,-6.089,7.827
3.216,-3.56,-5.353,8.145
3.227,-2.723,-5.052,7.315
3.238,-5.103,-6.351,7.252
3.249,-2.486,-4.626,7.249
3.26,-2.373,-4.795,7.213
3.271,-10.487,-6.858,11.018
3.283,0.562,-1.881,4.899
3.294,-6.977,-3.606,10.002
3.305,-4.773,-5.047,8.416
3.316,-3.455,-4.768,7.721
3.327,-0.791,-10.259,8.062
3.338,-2.213,-4.987,7.371
3.349,-1.527,-4.382,7.235
3.36,-0.415,-4.108,7.198
3.371,0.482,-4.834,6.958
3.382,0.425,-5.862,7.16
3.393,0.078,-5.881,7.37
3.404,-0.328,-5.772,7.417
3.415,-2.298,-5.029,8.095
3.426,-2.41,-6.104,8.535
3.437,-2.654,-7.253,8.996
3.448,-2.235,-6.548,8.343
3.459,-1.832,-6.317,8.288
3.47,-2.35,-6.268,8.446
3.481,-1.798,-6.813,8.377
3.492,-1.25,-6.764,8.132
3.503,-0.992,-6.717,8.258
3.514,-0.765,-6.559,7.77
3.525,-1.113,-5.726,7.817
3.536,-1.455,-5.424,7.951
3.547,-1.433,-5.035,7.594
3.558,-2.993,-5.757,8.487
3.569,-6.501,-4.237,10.365
3.58,-2.232,-2.415,7.935
3.591,-2.651,-5.331,7.285
3.602,-0.537,-6.649,7.553
3.613,1.36,-8.564,8.762
3.624,-0.15,-7.457,7.62
3.635,-1.557,-5.057,8.248
3.646,-2.044,-5.09,8.018
3.657,-1.855,-4.919,7.666
3.669,-1.41,-6.227,7.089
3.68,-1.454,-7.396,7.232
3.691,-0.962,-7.435,7.555
3.702,-0.816,-6.934,7.61
3.713,4.867,-6.797,7.826
3.724,0.485,-8.333,7.215
3.735,-2.534,-7.952,6.559
3.746,-0.78,-7.323,6.744
3.757,-0.941,-5.695,7.015
3.768,-0.485,-6.445,7.109
3.779,-0.647,-7.168,7.212
3.79,-0.497,-7.498,7.69
3.801,-0.349,-7.272,8.039
3.812,-0.237,-6.856,8.142
3.823,-0.135,-6.747,7.867
3.834,0.09,-6.837,7.839
3.845,-0.317,-6.935,7.941
3.856,-0.466,-7.806,7.358
3.867,-0.802,-7.261,7.488
3.878,-0.38,-6.537,7.806
3.889,-0.497,-6.745,6.923
3.9,-0.971,-6.733,6.926
3.911,-1.151,-6.68,6.882
3.922,-0.856,-6.227,6.713
3.933,0.056,-6.65,6.254
3.944,-0.613,-6.587,6.758
3.955,-0.288,-6.318,6.706
3.966,-0.403,-6.003,6.51
3.977,-0.269,-5.634,6.849
3.988,-0.3,-5.061,7.047
3.999,0.021,-5.329,6.629
4.01,0.003,-6.152,6.801
4.021,-0.427,-6.618,6.626
4.032,-0.093,-6.847,6.442
4.044,-0.069,-7.525,6.002
4.055,-0.301,-7.697,5.874
4.066,-0.333,-7.88,5.78
4.077,-0.517,-7.574,5.782
4.088,-0.24,-7.611,5.725
4.099,-0.341,-8.567,5.676
4.11,-0.587,-8.512,5.532
4.121,-0.667,-7.512,5.432
4.132,-0.375,-7.136,5.545
4.143,-0.492,-7.062,5.329
4.154,-0.937,-7.395,5.656
4.165,-0.602,-7.62,6.179
4.176,-1.225,-7.551,6.064
4.187,-0.356,-7.264,6.054
4.198,-1.32,-7.196,6.199
4.209,-0.98,-6.943,5.877
4.22,-1.061,-6.503,5.812
4.231,-0.279,-6.603,5.754
4.242,-0.476,-7.029,5.861
4.253,-1.185,-7.641,6.026
4.264,-1.317,-7.432,6.503
4.275,-0.131,-7.032,7.31
4.286,-0.088,-6.794,7.242
4.297,-0.071,-7.133,6.991
4.308,-0.567,-7.464,6.468
4.319,-0.996,-7.688,6.306
4.33,-1.144,-7.417,6.034
4.341,-1.305,-7.417,6.206
4.352,-1.626,-7.021,6.183
4.363,-1.345,-6.208,6.523
4.374,-1.153,-6.234,6.996
4.385,-1.061,-6.663,7.553
4.396,-0.758,-6.632,7.805
4.407,-0.454,-6.381,8.018
4.418,-0.206,-6.792,8.055
4.43,-0.538,-7.322,7.753
4.441,-1.051,-7.336,7.508
4.452,-1.156,-7.047,7.47
4.463,-1.039,-6.793,7.677
4.474,-0.917,-7.065,7.965
4.485,-0.533,-7.413,8.324
4.496,-0.127,-7.447,8.584
4.507,-0.157,-7.591,8.515
4.518,-0.383,-7.469,8.392
4.529,-0.34,-8.02,8.705
4.54,-0.194,-8.517,8.895
4.551,-0.198,-8.963,8.969
4.562,-0.293,-8.651,8.778
4.573,-0.248,-7.932,8.614
4.584,-0.196,-7.868,8.879
4.595,-0.079,-7.87,8.966
4.606,-0.152,-7.718,8.91
4.617,-0.395,-6.974,8.473
4.628,-0.394,-6.303,8.187
4.639,-0.26,-5.927,7.985
